City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Zhuhai,22.2769,113.5678,66.2,82,0,14.97,CN,1613427528
Brønnøysund,65.4625,12.1997,26.6,68,38,5.75,NO,1613427530
Bluff,-46.6,168.3333,55.99,60,70,5.99,NZ,1613427531
Saint-Philippe,-21.3585,55.7679,78.8,69,0,6.91,RE,1613427534
Itarema,-2.9248,-39.9167,79.12,87,100,9.13,BR,1613427535
Katsuura,35.1333,140.3,51.01,46,20,6.91,JP,1613427251
Qaanaaq,77.484,-69.3632,-7.33,87,41,1.45,GL,1613427311
Mar del Plata,-38.0023,-57.5575,71.01,100,75,22.39,AR,1613427490
Vaini,-21.2,-175.2,82.4,78,75,3.44,TO,1613427540
Vila,42.0304,-8.1588,53.01,75,99,1.01,PT,1613427541
Salalah,17.0151,54.0924,69.8,60,0,2.3,OM,1613427542
Rikitea,-23.1203,-134.9692,79.75,78,8,14.12,PF,1613427544
Punta Arenas,-53.15,-70.9167,59.0,47,75,24.16,CL,1613427457
Hermanus,-34.4187,19.2345,57.0,84,36,13.53,ZA,1613427190
Bengkulu,-3.8004,102.2655,75.81,88,43,5.73,ID,1613427547
Torbay,47.6666,-52.7314,28.0,68,75,11.5,CA,1613427548
Narsaq,60.9167,-46.05,23.0,58,90,12.66,GL,1613427549
Kisangani,0.5167,25.2,76.41,75,99,2.93,CD,1613427551
Provideniya,64.3833,-173.3,8.6,61,0,31.32,RU,1613427552
New Glasgow,45.5834,-62.6486,24.8,74,99,9.22,CA,1613427302
Mataura,-46.1927,168.8643,55.99,60,85,5.99,NZ,1613427554
Albany,42.6001,-73.9662,26.01,71,100,1.07,US,1613427555
Broken Hill,-31.95,141.4333,75.2,35,1,13.8,AU,1613427556
Castro,-24.7911,-50.0119,66.81,79,6,3.67,BR,1613427559
Ovalle,-30.5983,-71.2003,76.75,40,0,8.1,CL,1613427560
Menomonie,44.8755,-91.9193,1.0,35,1,3.44,US,1613427561
Banda Aceh,5.5577,95.3222,78.03,81,49,10.87,ID,1613427562
Coquimbo,-29.9533,-71.3436,66.2,72,0,11.5,CL,1613427315
Sawtell,-30.3833,153.1,75.2,69,75,19.57,AU,1613427564
Kruisfontein,-34.0033,24.7314,64.0,74,44,1.99,ZA,1613427565
Santarém,-2.4431,-54.7083,75.2,100,90,2.3,BR,1613427567
Adiaké,5.2863,-3.304,82.4,94,20,9.22,CI,1613427493
Ribeira Grande,38.5167,-28.7,55.4,67,40,14.97,PT,1613427569
Tasiilaq,65.6145,-37.6368,28.4,86,90,1.28,GL,1613427570
Tigre,-34.426,-58.5796,79.0,53,0,9.22,AR,1613427571
Petushki,55.9264,39.461,-8.59,89,0,4.61,RU,1613427572
Adrar,20.5022,-10.0711,70.84,22,100,15.66,MR,1613427574
Plettenberg Bay,-34.0527,23.3716,62.02,68,58,2.37,ZA,1613427575
Fairbanks,64.8378,-147.7164,3.99,77,1,0.29,US,1613427576
Ugoofaaru,5.6667,73.0,80.89,66,0,5.35,MV,1613427578
Sitka,57.0531,-135.33,33.8,55,20,5.75,US,1613427580
Asău,46.4333,26.4,19.0,53,39,3.53,RO,1613427581
Constitución,-35.3333,-72.4167,62.67,71,18,6.82,CL,1613427582
Aksu,41.1231,80.2644,28.85,89,0,2.28,CN,1613427583
Yar-Sale,66.8333,70.8333,-8.64,90,100,16.04,RU,1613427584
Lorengau,-2.0226,147.2712,82.38,78,100,13.42,PG,1613427585
Morondava,-20.2833,44.2833,76.73,92,100,20.27,MG,1613427586
Pevek,69.7008,170.3133,-18.98,86,0,1.5,RU,1613426989
Kavaratti,10.5669,72.642,80.47,60,39,5.66,IN,1613427589
Cabo San Lucas,22.8909,-109.9124,71.01,60,40,3.44,MX,1613427505
Clyde River,70.4692,-68.5914,-20.2,83,20,9.22,CA,1613427591
Biarritz,43.4801,-1.5556,60.8,48,0,12.66,FR,1613427592
Carnarvon,-24.8667,113.6333,77.0,100,75,14.97,AU,1613427594
Iqaluit,63.7506,-68.5145,-4.0,71,75,21.85,CA,1613427596
Ushuaia,-54.8,-68.3,59.0,51,75,18.41,AR,1613427580
Aksay,47.26,39.87,19.4,68,40,4.47,RU,1613427598
Nikolskoye,59.7035,30.7861,21.99,79,75,13.42,RU,1613427599
Trelew,-43.249,-65.3051,63.64,41,0,17.31,AR,1613427600
Manaure,11.7751,-72.4445,85.46,54,100,19.8,CO,1613427602
West Des Moines,41.572,-93.7453,-2.0,50,90,10.36,US,1613427416
Arlit,18.7369,7.3853,72.91,18,0,10.87,NE,1613427604
Chilia Veche,45.4167,29.2833,25.0,80,75,11.5,RO,1613427605
Hefei,31.8639,117.2808,46.0,93,55,1.61,CN,1613427607
Kampot,10.6167,104.1833,77.0,78,40,1.14,KH,1613427608
Praia,14.9215,-23.5087,71.6,68,0,13.8,CV,1613427310
Port Elizabeth,-33.918,25.5701,62.6,94,90,11.5,ZA,1613427610
Hithadhoo,-0.6,73.0833,82.11,70,14,3.58,MV,1613427611
Bilibino,68.0546,166.4372,-10.21,87,85,0.69,RU,1613427613
Huanren,41.2647,125.3667,4.44,88,49,2.44,CN,1613427614
Norman Wells,65.282,-126.8329,-7.6,77,75,3.44,CA,1613427616
New Norfolk,-42.7826,147.0587,64.0,76,81,1.99,AU,1613427283
Sabang,5.8933,95.3214,82.51,75,77,14.29,ID,1613427618
Dwārka,22.2394,68.9678,69.6,82,0,9.8,IN,1613427619
Mehamn,71.0357,27.8492,19.4,86,20,9.22,NO,1613427620
Manjacaze,-24.7117,33.8828,76.24,95,100,8.88,MZ,1613427621
Cape Town,-33.9258,18.4232,66.0,55,0,18.41,ZA,1613427545
Barrow,71.2906,-156.7887,-11.2,77,1,8.05,US,1613427625
Samaná,19.2056,-69.3369,77.0,88,75,9.22,DO,1613427626
Semporna,4.4818,118.6112,75.2,94,20,10.89,MY,1613427627
Tabas,33.5959,56.9244,53.6,16,0,4.61,IR,1613427628
Faya,18.3851,42.4509,60.8,31,0,5.75,SA,1613427630
Kununurra,-15.7667,128.7333,78.8,76,75,6.91,AU,1613427631
Calamar,10.2511,-74.9146,84.2,74,40,14.97,CO,1613427632
Khatanga,71.9667,102.5,-30.48,82,0,8.72,RU,1613427633
Fortuna,40.5982,-124.1573,53.01,100,75,6.91,US,1613427634
Ola,59.5833,151.2833,-7.47,81,45,7.23,RU,1613427635
Dikson,73.5069,80.5464,-25.91,81,66,8.95,RU,1613427637
Petropavlovka,50.6114,105.3196,-9.94,82,48,1.41,RU,1613427638
Olhão,37.0286,-7.8411,57.2,88,0,9.22,PT,1613427418
Yaan,7.3833,8.5667,84.99,22,12,2.57,NG,1613427640
Ancud,-41.8697,-73.8203,64.4,52,0,9.22,CL,1613427641
Puerto Ayora,-0.7393,-90.3518,86.0,66,20,10.36,EC,1613427642
Isangel,-19.55,169.2667,84.2,84,90,9.22,VU,1613427645
Taltal,-25.4,-70.4833,68.76,66,21,5.1,CL,1613427646
Sertânia,-8.0736,-37.2644,78.48,64,65,7.61,BR,1613427647
Inhambane,-23.865,35.3833,78.71,90,100,7.47,MZ,1613427648
São João da Barra,-21.6403,-41.0511,77.0,88,90,15.28,BR,1613427396
Barcelona,41.3888,2.159,52.0,100,75,2.3,ES,1613427650
Marawi,7.9986,124.2928,78.01,89,49,5.99,PH,1613427652
East London,-33.0153,27.9116,67.91,63,34,14.05,ZA,1613427653
Tuktoyaktuk,69.4541,-133.0374,-20.2,76,75,5.46,CA,1613427654
San Juan,-31.5375,-68.5364,79.16,41,72,10.94,AR,1613427655
Zrenjanin,45.3836,20.3819,28.0,79,0,3.44,RS,1613427656
Te Anau,-45.4167,167.7167,51.28,51,21,4.76,NZ,1613427658
Longyearbyen,78.2186,15.6401,26.6,100,75,2.3,SJ,1613427659
Port Shepstone,-30.7414,30.455,70.39,69,100,24.7,ZA,1613427660
Ambilobe,-13.2,49.05,74.43,94,100,3.02,MG,1613427661
Emba,48.8264,58.1442,11.12,94,100,7.81,KZ,1613427662
Bela Vista,-22.1089,-56.5211,80.82,83,58,2.84,BR,1613427663
Mikkeli,61.6886,27.2723,24.01,86,75,12.66,FI,1613427665
Buchanan,5.8808,-10.0467,79.7,87,88,6.64,LR,1613427666
Lebu,-37.6167,-73.65,60.13,70,0,13.49,CL,1613427667
Floreşti,47.8933,28.3014,14.88,95,7,7.72,MD,1613427668
Manta,-0.95,-80.7333,84.2,70,75,5.75,EC,1613427669
Champerico,14.3,-91.9167,89.6,48,20,9.22,GT,1613427670
Tura,25.5198,90.2201,59.41,33,0,2.26,IN,1613427672
Nador,35.174,-2.9287,59.0,77,20,6.91,MA,1613427673
Pastavy,55.1168,26.8326,3.07,94,9,4.0,BY,1613427674
Churapcha,62.0025,132.4325,-27.85,86,83,2.91,RU,1613427675
Parvatsar,26.8833,74.7667,59.94,33,0,2.71,IN,1613427676
Faanui,-16.4833,-151.75,81.93,72,99,12.66,PF,1613427678
Lata,40.1629,-8.3327,57.99,79,90,6.29,PT,1613427679
Paamiut,61.994,-49.6678,9.64,83,20,7.94,GL,1613427680
Philadelphia,39.9523,-75.1638,36.0,75,90,8.05,US,1613427586
Pisco,-13.7,-76.2167,77.0,65,0,19.57,PE,1613427683
Ballina,-28.8667,153.5667,71.6,94,75,8.05,AU,1613427684
Port Moresby,-9.4431,147.1797,75.2,94,40,11.5,PG,1613427685
Okhotsk,59.3833,143.3,-3.46,81,51,5.55,RU,1613427686
Chokurdakh,70.6333,147.9167,-17.28,87,93,4.36,RU,1613427688
Cherskiy,68.75,161.3,-11.97,90,100,3.89,RU,1613427689
Geraldton,-28.7667,114.6,71.6,94,90,8.05,AU,1613427690
Bay City,43.5945,-83.8889,15.01,57,90,6.91,US,1613427691
Marfino,55.7028,37.3822,-4.0,77,0,4.47,RU,1613427692
Hilo,19.7297,-155.09,78.8,73,90,10.36,US,1613427694
Jacksonville Beach,30.2947,-81.3931,69.8,88,75,6.91,US,1613427564
Bonavista,48.6499,-53.1147,28.0,74,100,4.61,CA,1613427696
Laas,46.6166,10.7002,32.0,93,90,4.61,IT,1613427697
Omaruru,-21.4333,15.9333,69.24,52,39,3.02,NA,1613427698
Salinópolis,-0.6136,-47.3561,78.48,86,100,13.62,BR,1613427699
Souillac,-20.5167,57.5167,78.8,89,75,4.61,MU,1613427701
Itoman,26.1247,127.6694,60.8,67,40,14.97,JP,1613427702
Tautira,-17.7333,-149.15,86.0,62,75,14.97,PF,1613427703
Plouzané,48.3833,-4.6167,51.8,82,0,18.41,FR,1613427704
Aklavik,68.2191,-135.0107,-4.0,71,90,5.75,CA,1613427705
Ziyang,29.2497,117.8547,52.79,92,100,1.01,CN,1613427706
West Odessa,31.8424,-102.4988,17.01,67,100,3.71,US,1613427708
Saskylakh,71.9167,114.0833,-19.23,86,100,9.17,RU,1613427709
Natchez,31.5604,-91.4032,26.6,59,40,10.36,US,1613427710
Cidreira,-30.1811,-50.2056,76.55,78,2,6.22,BR,1613427711
San Policarpo,12.1791,125.5072,78.69,82,100,13.91,PH,1613427712
Puerto Ayacucho,5.6639,-67.6236,91.29,44,82,8.55,VE,1613427714
Necochea,-38.5473,-58.7368,62.01,97,100,5.99,AR,1613427715
Luba,3.4568,8.5547,81.88,78,66,8.84,GQ,1613427717
Labuhan,-6.8844,112.2051,78.03,86,96,7.23,ID,1613427718
Hong Kong,22.2855,114.1577,66.0,74,49,1.01,HK,1613427696
Butaritari,3.0707,172.7902,79.38,79,0,14.88,KI,1613427720
Muzhi,65.3667,64.6667,-20.16,87,100,7.14,RU,1613427722
Eyl,7.9803,49.8164,75.22,78,55,14.25,SO,1613427723
Nizwá,22.9333,57.5333,59.72,55,0,2.44,OM,1613427724
Codrington,-38.2667,141.9667,64.89,71,75,6.6,AU,1613427725
Richards Bay,-28.783,32.0377,70.16,86,100,27.13,ZA,1613427726
Port Hawkesbury,45.6169,-61.3485,25.0,80,75,4.61,CA,1613427727
Fomboni,-12.28,43.7425,83.3,79,100,20.22,KM,1613427729
Muroto-misakicho,33.2833,134.15,41.0,65,20,4.61,JP,1613427730
Shimoda,34.6667,138.95,39.0,63,0,3.0,JP,1613427731
Inuvik,68.3499,-133.7218,-5.8,77,100,1.14,CA,1613427732
Grimshaw,56.1834,-117.6027,-0.4,65,90,4.61,CA,1613427733
Batemans Bay,-35.7167,150.1833,64.99,94,99,1.99,AU,1613427735
Oktyabr'skiy,54.4815,53.471,-8.93,89,96,5.7,RU,1613427736
Chaoyang,41.5703,120.4586,10.78,74,22,4.88,CN,1613427737
Piranhas,-16.4269,-51.8222,77.68,76,97,3.65,BR,1613427738
Tessalit,20.1986,1.0114,76.73,14,43,16.64,ML,1613427739
San Patricio,28.017,-97.5169,30.2,74,75,14.97,US,1613427740
Lahat,-3.8,103.5333,73.67,93,100,0.78,ID,1613427742
Haines Junction,60.7522,-137.5108,-9.4,49,36,2.3,CA,1613427743
Tsabong,-26.0217,22.401,72.61,21,0,15.52,BW,1613427744
Constantine,36.365,6.6147,33.8,86,0,4.61,DZ,1613427745
Grenville,12.1167,-61.6167,80.6,69,20,16.11,GD,1613427746
Ust-Nera,64.5667,143.2,-23.24,77,75,1.32,RU,1613427748
Tayoltita,24.0833,-105.9333,68.02,36,0,7.76,MX,1613427749
Zaoyang,32.1272,112.7542,40.06,83,87,2.13,CN,1613427750
Saint George,37.1041,-113.5841,57.99,26,75,6.91,US,1613427493
Verkhnevilyuysk,63.4453,120.3167,-17.19,88,100,4.34,RU,1613427752
Aitape,-3.1374,142.3475,79.84,81,97,6.98,PG,1613427753
Rāpar,23.5667,70.6333,65.97,87,0,10.02,IN,1613427754
Oddur,4.1213,43.8894,68.18,86,0,16.31,SO,1613427756
Bitkine,11.9801,18.2138,75.58,17,0,10.36,TD,1613427757
Sorel-Tracy,46.0418,-73.1136,23.0,93,100,1.14,CA,1613427758
Sørland,67.667,12.6934,19.4,93,0,2.3,NO,1613427759
Mount Gambier,-37.8333,140.7667,59.0,94,51,4.61,AU,1613427760
Vao,-22.6667,167.4833,79.57,79,90,11.77,NC,1613427761
Yavoriv,49.9386,23.3825,19.4,93,75,4.47,UA,1613427763
Gallup,35.5281,-108.7426,37.4,52,90,13.8,US,1613427764
Guane,22.2025,-84.0875,82.71,66,0,11.05,CU,1613427766
Havøysund,70.9963,24.6622,24.8,86,75,3.44,NO,1613427767
Ponta Delgada,37.7333,-25.6667,57.2,62,20,17.27,PT,1613427769
Esperance,-33.8667,121.9,66.2,59,0,16.11,AU,1613427770
Nanortalik,60.1432,-45.2371,20.41,88,0,21.27,GL,1613427771
Makakilo City,21.3469,-158.0858,78.8,69,90,5.75,US,1613427772
Shirokiy,49.758,129.523,-14.06,89,72,9.86,RU,1613427773
Ostrovnoy,68.0531,39.5131,4.05,92,100,12.17,RU,1613427774
Pangnirtung,66.1451,-65.7125,-16.6,69,20,3.44,CA,1613427776
Flinders,-34.5833,150.8552,70.0,92,85,3.0,AU,1613427777
Vestmannaeyjar,63.4427,-20.2734,44.55,86,86,13.87,IS,1613427778
Sechura,-5.5569,-80.8222,82.69,56,4,15.99,PE,1613427779
Birao,10.2849,22.7882,79.47,18,100,4.16,CF,1613427780
Mahébourg,-20.4081,57.7,78.8,89,75,4.61,MU,1613427782
Lys'va,58.1086,57.8053,-5.31,91,96,4.81,RU,1613427783
Leshukonskoye,64.8989,45.7622,-5.8,91,100,2.21,RU,1613427784
Broome,42.2506,-75.833,27.0,86,90,4.61,US,1613427785
Maceió,-9.6658,-35.7353,78.8,89,40,6.91,BR,1613427786
Namatanai,-3.6667,152.4333,82.42,78,42,6.53,PG,1613427787
Bathsheba,13.2167,-59.5167,78.8,61,40,18.41,BB,1613427788
Lagos,6.5833,3.75,84.2,84,20,8.05,NG,1613427577
Härnösand,62.6323,17.9379,21.0,85,0,3.44,SE,1613427791
Chuzhou,32.3219,118.2978,42.01,72,37,1.99,CN,1613427792
Parfen'yevo,58.484,43.4088,-12.75,90,15,4.59,RU,1613427793
Bodden Town,19.2833,-81.25,84.2,70,40,13.8,KY,1613427794
Taoudenni,22.6783,-3.9836,67.59,29,0,21.07,ML,1613427720
Lüderitz,-26.6481,15.1594,66.88,53,0,24.72,NA,1613427796
Thompson,55.7435,-97.8558,5.0,72,75,5.75,CA,1613427798
Kaitangata,-46.2817,169.8464,51.35,62,100,1.59,NZ,1613427799
Namie,37.4833,141.0,39.99,56,8,1.01,JP,1613427800
Dunedin,-45.8742,170.5036,53.01,68,88,8.01,NZ,1613427801
Tromsø,69.6496,18.957,26.6,93,40,3.44,NO,1613427802
Pusad,19.9,77.5833,75.06,27,83,4.09,IN,1613427803
Dandong,40.1292,124.3947,16.38,73,91,9.08,CN,1613427805
Imeni Poliny Osipenko,52.4201,136.4853,2.12,90,100,19.64,RU,1613427806
Hasaki,35.7333,140.8333,46.4,53,20,5.75,JP,1613427807
Nishihara,26.1842,127.7558,60.8,62,90,6.91,JP,1613427808
Berbera,10.4396,45.0143,73.81,72,0,3.74,SO,1613427809
Deputatsky,69.3,139.9,-26.55,87,2,1.14,RU,1613427810
Antalaha,-14.9003,50.2788,75.0,90,99,3.76,MG,1613427811
Leningradskiy,69.3833,178.4167,-15.21,86,0,4.07,RU,1613427737
Mormugao,15.4,73.8,75.2,83,20,8.05,IN,1613427814
Marzuq,14.4,46.4667,60.22,40,0,1.79,YE,1613427815
Misratah,32.3754,15.0925,51.03,57,91,24.54,LY,1613427816
Lilongwe,-13.9669,33.7873,68.88,80,97,4.16,MW,1613427817
Marsá Maţrūḩ,31.3525,27.2453,55.4,58,75,20.71,EG,1613427818
Wasilla,61.5814,-149.4394,28.0,50,1,1.48,US,1613427655
Hambantota,6.1241,81.1185,74.32,85,21,12.93,LK,1613427821
Popondetta,-8.7537,148.2534,81.37,75,100,1.79,PG,1613427822
Trogir,43.5125,16.2517,35.6,41,0,4.61,HR,1613427823
San Cristobal,7.7669,-72.225,86.0,58,40,13.8,VE,1613427581
Feijó,-8.1642,-70.3536,80.58,93,98,2.28,BR,1613427825
Oron,4.8256,8.2343,81.9,79,46,5.64,NG,1613427826
Hoquiam,46.9809,-123.8893,46.99,93,90,17.27,US,1613427828
Syria,35.0,38.0,45.09,89,13,3.47,SY,1613427829
Hualmay,-11.0964,-77.6139,76.69,66,5,10.22,PE,1613427737
Hobyo,5.3505,48.5268,77.02,80,13,14.85,SO,1613427831
Sayyan,15.1718,44.3244,55.09,37,0,3.24,YE,1613427833
Guadalupe y Calvo,26.1,-106.9667,50.97,47,26,8.93,MX,1613427834
Zhigansk,66.7697,123.3711,-20.04,87,100,9.51,RU,1613427835
Bourail,-21.5667,165.4833,81.0,72,34,2.46,NC,1613427836
North Bend,43.4065,-124.2243,51.8,82,90,18.41,US,1613427837
Lavrentiya,65.5833,-171.0,-12.51,86,3,11.18,RU,1613427838
Chui,-33.6971,-53.4616,71.91,85,99,7.45,UY,1613427840
Pacific Grove,36.6177,-121.9166,59.0,88,90,12.66,US,1613427841
Nouakchott,18.0858,-15.9785,80.6,12,100,5.75,MR,1613427842
Massaguet,12.4755,15.4365,80.6,12,0,11.5,TD,1613427843
Ponta do Sol,32.6667,-17.1,63.0,88,20,3.44,PT,1613427844
Coihueco,-36.6167,-71.8333,80.6,41,20,11.5,CL,1613427845
Ust-Tsilma,65.441,52.1498,-23.26,86,84,4.16,RU,1613427846
Jacareacanga,-6.2222,-57.7528,75.42,95,100,2.59,BR,1613427850
Ushirombo,-3.4919,31.9639,65.71,93,68,2.64,TZ,1613427851
Vila Velha,-20.3297,-40.2925,84.99,94,90,9.22,BR,1613427852
Tazovsky,67.4667,78.7,-4.63,91,100,18.75,RU,1613427853
Samarai,-10.6167,150.6667,82.36,73,100,3.87,PG,1613427854
Brigantine,39.4101,-74.3646,37.4,87,90,10.36,US,1613427556
Ciudad del Maíz,22.4,-99.6,49.82,47,0,8.93,MX,1613427655
Mitchell,43.7094,-98.0298,-2.2,50,1,6.91,US,1613427858
Makurdi,7.7411,8.5121,85.24,25,2,1.81,NG,1613427859
Noumea,-22.2763,166.4572,82.0,78,0,2.3,NC,1613427744
Bereda,43.2686,-7.5406,60.01,67,100,5.99,ES,1613427861
Guerrero Negro,27.9769,-114.0611,64.06,57,21,14.32,MX,1613427862
Upernavik,72.7868,-56.1549,-4.86,90,100,6.24,GL,1613427695
Maniitsoq,65.4167,-52.9,4.64,84,64,10.8,GL,1613427787
Isil'kul',54.9109,71.2728,5.18,95,96,4.32,RU,1613427866
Aban,56.67,96.06,5.4,95,100,5.75,RU,1613427867
Acapulco de Juárez,16.8634,-99.8901,80.6,57,1,12.66,MX,1613427677
Jérémie,18.65,-74.1167,80.71,66,13,1.9,HT,1613427869
Panzhihua,26.5851,101.7128,44.01,64,0,2.33,CN,1613427870
León,21.1167,-101.6667,75.2,8,1,12.66,MX,1613427872
Athabasca,54.7169,-113.2854,1.4,51,98,9.22,CA,1613427873
Vaitape,-16.5167,-151.75,82.2,72,100,12.73,PF,1613427874
Mala,-12.6581,-76.6308,75.43,63,0,5.23,PE,1613427875
Klaksvík,62.2266,-6.589,44.6,100,90,18.41,FO,1613427876
Andenes,69.3143,16.1194,32.0,86,2,11.5,NO,1613427877
Yuancheng,36.652,107.7896,30.61,73,97,9.91,CN,1613427878
Merauke,-8.4667,140.3333,77.36,88,100,7.31,ID,1613427880
Olinda,-8.0089,-34.8553,80.6,74,40,6.91,BR,1613427772
St Austell,50.3383,-4.7658,53.6,82,90,27.63,GB,1613427826
San Andrés,12.5847,-81.7006,84.2,74,40,9.22,CO,1613427883
Huarmey,-10.0681,-78.1522,76.62,66,57,10.09,PE,1613427884
Bandarbeyla,9.4942,50.8122,74.71,76,69,10.31,SO,1613427886
Rocha,-34.4833,-54.3333,71.2,86,100,7.0,UY,1613427887
Shingū,33.7333,135.9833,39.16,72,0,9.22,JP,1613427888
Goundam,16.4145,-3.6708,80.98,14,0,17.11,ML,1613427889
Novomalorossiyskaya,45.6348,39.8948,28.0,91,100,9.17,RU,1613427890
Talara,-4.5772,-81.2719,82.4,65,20,9.22,PE,1613427891
Sangamner,19.5667,74.2167,68.09,49,0,5.95,IN,1613427892
Kalabo,-14.97,22.6814,70.21,74,56,4.72,ZM,1613427894
Wajima,37.4,136.9,36.46,82,100,31.38,JP,1613427895
Kamaishi,39.2667,141.8833,34.75,81,63,33.42,JP,1613427896
Bambous Virieux,-20.3428,57.7575,79.0,89,75,4.61,MU,1613427897
Nabire,-3.3667,135.4833,74.39,91,100,3.38,ID,1613427898
Ilulissat,69.2167,-51.1,3.2,55,75,9.22,GL,1613427725
Paoua,7.2427,16.4406,75.54,20,50,4.05,CF,1613427901
College,64.8569,-147.8028,3.99,71,75,0.58,US,1613427905
Morro Bay,35.3658,-120.8499,62.01,92,100,1.99,US,1613427906
Kamenka,51.3223,42.7678,-9.06,91,0,2.68,RU,1613427907
Los Andes,-32.8337,-70.5983,73.99,99,26,1.99,CL,1613427908
Olgina,59.3953,28.1253,20.34,96,100,11.72,EE,1613427909
Rāzampeta,14.1833,79.1667,65.05,70,0,3.36,IN,1613427911
Yiyang,28.5892,112.3283,48.54,78,99,8.16,CN,1613427912
Bambanglipuro,-7.95,110.2833,76.53,87,79,3.36,ID,1613427913
Canutama,-6.5339,-64.3831,82.35,79,80,1.9,BR,1613427914
San Remigio,11.0809,123.9381,77.77,82,100,10.56,PH,1613427915
Chimoré,-16.9833,-65.1333,76.14,95,100,2.57,BO,1613427916
Yangi Marg`ilon,40.4272,71.7189,50.0,32,21,6.91,UZ,1613427918
Airai,-8.9266,125.4092,59.54,100,80,2.3,TL,1613427919
Uvat,59.1433,68.8953,-9.71,91,90,4.74,RU,1613427920
Jumla,29.2747,82.1838,34.41,79,8,4.41,NP,1613427921
Sola,-13.8833,167.55,84.2,84,40,11.83,VU,1613427922
Birin,26.8865,88.0718,48.31,73,0,3.83,NP,1613427923
Qarchī Gak,37.04,66.7889,53.6,43,1,3.44,AF,1613427924
Karratha,-20.7377,116.8463,80.55,78,19,9.48,AU,1613427926
Tiznit Province,29.5833,-9.5,61.92,32,0,6.53,MA,1613427927
Beringovskiy,63.05,179.3167,-7.87,88,99,16.89,RU,1613427928
Srednekolymsk,67.45,153.6833,-18.06,88,100,2.42,RU,1613427929
Diamantino,-14.4086,-56.4461,77.76,85,80,2.91,BR,1613427930
Lanzhou,36.0564,103.7922,35.01,42,100,2.59,CN,1613427931
Yei,4.095,30.6779,81.3,31,78,1.81,SS,1613427933
Tekeli,44.83,78.8239,31.06,79,24,11.34,KZ,1613427934
Dryden,49.7833,-92.7503,-0.4,46,1,8.05,CA,1613427935
San Matías,-16.3667,-58.4,84.15,69,63,5.41,BO,1613427936
Smithers,54.7804,-127.1743,19.4,86,90,2.3,CA,1613427745
Kidal,18.4411,1.4078,74.46,18,88,1.48,ML,1613427939
Bontang,0.1333,117.5,76.77,85,100,6.24,ID,1613427940
Sept-Îles,50.2001,-66.3821,18.0,57,75,5.75,CA,1613427941
Port Lincoln,-34.7333,135.8667,69.13,69,5,9.8,AU,1613427722
Tupik,54.4253,119.9327,-20.36,82,100,5.35,RU,1613427943
Maumere,-8.6199,122.2111,78.46,76,75,3.18,ID,1613427740
Vardø,70.3705,31.1107,26.6,59,40,12.66,NO,1613427946
Kuliyapitiya,7.4688,80.0401,73.4,94,1,2.3,LK,1613427947
